Hz,dBFS(rms),THD(%),BUZZ(%)
2484.38,-60.42,0.00,0.00
2490.23,-59.77,0.00,0.00
2496.09,-59.21,0.00,0.00
2501.95,-58.67,0.00,0.00
2507.81,-58.16,0.00,0.00
2513.67,-57.77,0.00,0.00
2519.53,-57.43,0.00,0.00
2525.39,-57.10,0.00,0.00
2531.25,-56.75,0.00,0.00
2537.11,-56.42,0.00,0.00
2542.97,-56.11,0.00,0.00
2548.83,-55.83,0.00,0.00
2554.69,-55.57,0.00,0.00
2560.55,-55.30,0.00,0.00
2566.41,-55.00,0.00,0.00
2572.27,-54.73,0.00,0.00
2578.13,-54.52,0.00,0.00
2583.98,-54.31,0.00,0.00
2589.84,-54.11,0.00,0.00
2595.70,-53.93,0.00,0.00
2601.56,-53.80,0.00,0.00
2607.42,-53.71,0.00,0.00
2613.28,-53.65,0.00,0.00
2619.14,-53.66,0.00,0.00
2625.00,-53.73,0.56,0.01
2630.86,-53.81,0.00,0.00
2636.72,-53.92,0.00,0.00
2642.58,-54.03,0.00,0.00
2648.44,-54.08,0.00,0.00
2654.30,-54.10,0.00,0.00
2660.16,-54.08,0.00,0.00
2666.02,-54.06,0.00,0.00
2671.88,-54.02,0.00,0.00
2677.73,-53.99,0.00,0.00
2683.59,-53.99,0.00,0.00
2689.45,-54.00,0.00,0.00
2695.31,-54.06,0.00,0.00
2701.17,-54.15,0.00,0.00
2707.03,-54.25,0.00,0.00
2712.89,-54.38,0.57,0.01
2718.75,-54.51,0.00,0.00
2724.61,-54.64,0.00,0.00
2730.47,-54.78,0.00,0.00
2736.33,-54.91,0.00,0.00
2742.19,-55.04,0.00,0.00
2748.05,-55.20,0.00,0.00
2753.91,-55.34,0.00,0.00
2759.77,-55.48,0.00,0.00
2765.63,-55.60,0.00,0.00
2771.48,-55.76,0.00,0.00
2777.34,-55.89,0.00,0.00
2783.20,-56.08,0.39,0.01
2789.06,-56.34,0.39,0.01
2794.92,-56.62,0.00,0.00
2800.78,-56.93,0.00,0.00
2806.64,-57.35,0.00,0.00
2812.50,-57.86,0.00,0.00
2818.36,-58.44,0.00,0.00
2824.22,-58.99,0.00,0.00
2830.08,-59.57,0.00,0.00
2835.94,-60.17,0.00,0.00
2841.80,-60.70,0.00,0.00
2847.66,-60.93,0.00,0.00
2853.52,-61.00,0.00,0.00
2859.38,-61.00,0.00,0.00
2865.23,-61.07,0.00,0.00
2871.09,-61.34,0.00,0.00
2876.95,-61.64,0.00,0.00
2882.81,-61.96,0.00,0.00
2888.67,-62.51,0.00,0.00
2894.53,-63.25,0.00,0.00
2900.39,-64.11,0.00,0.00
2906.25,-64.90,0.00,0.00
2912.11,-65.68,0.00,0.00
2917.97,-65.99,0.00,0.00
2923.83,-65.46,0.00,0.00
2929.69,-64.51,0.00,0.00
2935.55,-63.23,0.00,0.00
2941.41,-61.87,0.00,0.00
2947.27,-60.52,0.00,0.00
2953.13,-59.30,0.00,0.00
2958.98,-58.21,0.00,0.00
2964.84,-57.21,0.00,0.00
2970.70,-56.33,0.00,0.00
2976.56,-55.52,0.00,0.00
2982.42,-54.77,0.00,0.00
2988.28,-54.12,0.00,0.00
2994.14,-53.55,0.00,0.00
3000.00,-53.02,0.00,0.00
3005.86,-52.56,0.00,0.00
3011.72,-52.14,0.53,0.01
3017.58,-51.81,0.00,0.00
3023.44,-51.55,0.00,0.00
3029.30,-51.32,0.00,0.00
3035.16,-51.14,0.00,0.00
3041.02,-51.03,0.00,0.00
3046.88,-50.99,0.00,0.00
3052.73,-50.98,0.00,0.00
3058.59,-51.02,0.00,0.00
3064.45,-51.13,0.00,0.00
3070.31,-51.27,0.00,0.00
3076.17,-51.44,0.00,0.00
3082.03,-51.64,0.00,0.00
3087.89,-51.83,0.00,0.00
3093.75,-52.03,0.00,0.00
3099.61,-52.20,0.00,0.00
3105.47,-52.40,0.00,0.00
3111.33,-52.60,0.00,0.00
3117.19,-52.76,0.00,0.00
3123.05,-52.94,0.00,0.00
3128.91,-53.11,0.00,0.00
3134.77,-53.30,0.00,0.00
3140.63,-53.50,0.00,0.00
3146.48,-53.67,0.00,0.00
3152.34,-53.85,0.00,0.00
3158.20,-54.05,0.00,0.00
3164.06,-54.25,0.00,0.00
3169.92,-54.45,0.00,0.00
3175.78,-54.64,0.00,0.00
3181.64,-54.78,0.00,0.00
3187.50,-54.87,0.00,0.00
3193.36,-54.88,0.00,0.00
3199.22,-54.77,0.00,0.00
3205.08,-54.52,0.00,0.00
3210.94,-54.18,0.00,0.00
3216.80,-53.80,0.00,0.00
3222.66,-53.40,0.00,0.00
3228.52,-52.98,0.00,0.00
3234.38,-52.59,0.00,0.00
3240.23,-52.23,0.00,0.00
3246.09,-51.93,0.00,0.00
3251.95,-51.67,0.00,0.00
3257.81,-51.45,0.61,0.01
3263.67,-51.28,0.63,0.00
3269.53,-51.13,0.00,0.00
3275.39,-51.01,0.00,0.00
3281.25,-50.93,0.00,0.00
3287.11,-50.88,0.00,0.00
3292.97,-50.84,0.00,0.00
3298.83,-50.82,0.00,0.00
3304.69,-50.81,0.00,0.00
3310.55,-50.80,0.00,0.00
3316.41,-50.81,0.00,0.00
3322.27,-50.82,0.00,0.00
3328.13,-50.81,0.00,0.00
3333.98,-50.81,0.00,0.00
3339.84,-50.81,0.00,0.00
3345.70,-50.85,0.00,0.00
3351.56,-50.89,0.00,0.00
3357.42,-50.92,0.00,0.00
3363.28,-50.98,0.76,0.00
3369.14,-51.03,0.00,0.00
3375.00,-51.10,0.00,0.00
3380.86,-51.15,0.00,0.00
3386.72,-51.21,0.00,0.00
3392.58,-51.28,0.00,0.00
3398.44,-51.36,0.00,0.00
3404.30,-51.44,0.00,0.00
3410.16,-51.54,0.00,0.00
3416.02,-51.64,0.68,0.00
3421.88,-51.75,0.00,0.00
3427.73,-51.89,0.00,0.00
3433.59,-52.03,0.00,0.00
3439.45,-52.19,0.00,0.00
3445.31,-52.37,0.00,0.00
3451.17,-52.56,0.00,0.00
3457.03,-52.77,0.00,0.00
3462.89,-53.00,0.00,0.00
3468.75,-53.22,0.00,0.00
3474.61,-53.46,0.00,0.00
3480.47,-53.69,0.00,0.00
3486.33,-53.90,0.00,0.00
3492.19,-54.10,0.00,0.00
3498.05,-54.31,0.00,0.00
3503.91,-54.52,0.00,0.00
3509.77,-54.71,0.00,0.00
3515.63,-54.91,0.00,0.00
3521.48,-55.12,0.00,0.00
3527.34,-55.32,0.00,0.00
3533.20,-55.52,0.00,0.00
3539.06,-55.72,0.00,0.00
3544.92,-55.93,0.00,0.00
3550.78,-56.13,0.00,0.00
3556.64,-56.32,0.00,0.00
3562.50,-56.53,0.00,0.00
3568.36,-56.72,0.00,0.00
3574.22,-56.90,0.00,0.00
3580.08,-57.09,0.00,0.00
3585.94,-57.29,0.00,0.00
3591.80,-57.52,0.00,0.00
3597.66,-57.77,0.00,0.00
3603.52,-58.05,0.00,0.00
3609.38,-58.35,0.00,0.00
3615.23,-58.67,0.00,0.00
3621.09,-59.04,0.00,0.00
3626.95,-59.44,0.00,0.00
3632.81,-59.88,0.00,0.00
3638.67,-60.38,0.00,0.00
3644.53,-60.88,0.00,0.00
3650.39,-61.34,0.00,0.00
3656.25,-61.77,0.00,0.00
3662.11,-62.12,0.00,0.00
3667.97,-62.36,0.00,0.00
3673.83,-62.54,0.00,0.00
3679.69,-62.59,0.00,0.00
3685.55,-62.61,0.00,0.00
3691.41,-62.63,0.00,0.00
3697.27,-62.67,0.00,0.00
3703.13,-62.70,0.00,0.00
3708.98,-62.80,0.00,0.00
3714.84,-62.88,0.00,0.00
3720.70,-62.99,0.00,0.00
3726.56,-63.13,0.00,0.00
3732.42,-63.09,0.00,0.00
3738.28,-62.81,0.00,0.00
3744.14,-62.33,0.00,0.00
3750.00,-61.80,0.00,0.00
3755.86,-61.19,0.00,0.00
3761.72,-60.54,0.00,0.00
3767.58,-59.96,0.00,0.00
3773.44,-59.44,0.00,0.00
3779.30,-59.03,0.00,0.00
3785.16,-58.64,0.00,0.00
3791.02,-58.29,0.00,0.00
3796.88,-58.02,0.00,0.00
3802.73,-57.71,0.00,0.00
3808.59,-57.37,0.00,0.00
3814.45,-56.99,0.00,0.00
3820.31,-56.57,0.00,0.00
3826.17,-56.13,0.00,0.00
3832.03,-55.64,0.00,0.00
3837.89,-55.11,0.00,0.00
3843.75,-54.60,0.00,0.00
3849.61,-54.14,0.00,0.00
3855.47,-53.73,0.00,0.00
3861.33,-53.39,0.00,0.00
3867.19,-53.03,0.00,0.00
3873.05,-52.66,0.00,0.00
3878.91,-52.34,0.00,0.00
3884.77,-52.05,0.00,0.00
3890.63,-51.79,0.00,0.00
3896.48,-51.54,0.00,0.00
3902.34,-51.29,0.00,0.00
3908.20,-51.05,0.00,0.00
3914.06,-50.83,0.00,0.00
3919.92,-50.62,0.00,0.00
3925.78,-50.39,0.00,0.00
3931.64,-50.15,0.00,0.00
3937.50,-49.93,0.00,0.00
3943.36,-49.74,0.00,0.00
3949.22,-49.55,0.98,0.03
3955.08,-49.39,0.00,0.00
3960.94,-49.24,0.00,0.00
3966.80,-49.12,0.00,0.00
3972.66,-49.06,1.04,0.05
3978.52,-49.06,0.00,0.00
3984.38,-49.11,0.00,0.00
3990.23,-49.21,0.00,0.00
3996.09,-49.35,0.98,0.06
4001.95,-49.53,1.02,0.05
4007.81,-49.77,1.02,0.05
4013.67,-50.04,0.95,0.04
4019.53,-50.32,0.00,0.00
4025.39,-50.63,0.00,0.00
4031.25,-50.98,0.00,0.00
4037.11,-51.34,0.00,0.00
4042.97,-51.69,0.00,0.00
4048.83,-52.00,0.00,0.00
4054.69,-52.33,0.00,0.00
4060.55,-52.70,0.00,0.00
4066.41,-53.08,0.00,0.00
4072.27,-53.41,0.00,0.00
4078.13,-53.66,0.00,0.00
4083.98,-53.86,0.00,0.00
4089.84,-53.99,0.00,0.00
4095.70,-54.00,0.00,0.00
4101.56,-53.87,0.00,0.00
4107.42,-53.70,0.00,0.00
4113.28,-53.55,0.00,0.00
4119.14,-53.36,0.00,0.00
4125.00,-53.15,0.00,0.00
4130.86,-52.99,0.00,0.00
4136.72,-52.87,0.00,0.00
4142.58,-52.79,0.00,0.00
4148.44,-52.78,0.70,0.00
4154.30,-52.82,0.69,0.00
4160.16,-52.85,0.68,0.00
4166.02,-52.91,0.66,0.00
4171.88,-52.98,0.63,0.00
4177.73,-53.08,0.00,0.00
4183.59,-53.24,0.00,0.00
4189.45,-53.43,0.00,0.00
4195.31,-53.63,0.00,0.00
4201.17,-53.80,0.00,0.00
4207.03,-53.90,0.00,0.00
4212.89,-53.91,0.00,0.00
4218.75,-53.89,0.00,0.00
4224.61,-53.82,0.00,0.00
4230.47,-53.71,0.00,0.00
4236.33,-53.61,0.00,0.00
4242.19,-53.53,0.73,0.00
4248.05,-53.52,0.73,0.00
4253.91,-53.56,0.71,0.00
4259.77,-53.63,0.00,0.00
4265.63,-53.79,0.00,0.00
4271.48,-54.00,0.00,0.00
4277.34,-54.24,0.00,0.00
4283.20,-54.48,0.00,0.00
4289.06,-54.68,0.00,0.00
4294.92,-54.80,0.00,0.00
4300.78,-54.84,0.00,0.00
4306.64,-54.76,0.00,0.00
4312.50,-54.53,0.00,0.00
4318.36,-54.22,0.00,0.00
4324.22,-53.92,0.00,0.00
4330.08,-53.72,0.00,0.00
4335.94,-53.67,0.73,0.00
4341.80,-53.81,0.68,0.00
4347.66,-54.14,0.00,0.00
4353.52,-54.69,0.00,0.00
4359.38,-55.50,0.00,0.00
4365.23,-56.55,0.00,0.00
4371.09,-57.90,0.00,0.00
4376.95,-59.61,0.00,0.00
4382.81,-61.54,0.00,0.00
4388.67,-63.26,0.00,0.00
4394.53,-63.73,0.00,0.00
4400.39,-62.91,0.00,0.00
4406.25,-61.88,0.00,0.00
4412.11,-61.26,0.00,0.00
4417.97,-61.15,0.00,0.00
4423.83,-61.51,0.00,0.00
4429.69,-62.32,0.00,0.00
4435.55,-63.45,0.00,0.00
4441.41,-64.74,0.00,0.00
4447.27,-65.48,0.00,0.00
4453.13,-65.22,0.00,0.00
4458.98,-64.39,0.00,0.00
4464.84,-63.51,0.00,0.00
4470.70,-62.75,0.00,0.00
4476.56,-62.23,0.00,0.00
4482.42,-61.90,0.00,0.00
4488.28,-61.77,0.00,0.00
4494.14,-61.86,0.00,0.00
4500.00,-62.22,0.00,0.00
4505.86,-62.76,0.00,0.00
4511.72,-63.53,0.00,0.00
4517.58,-64.53,0.00,0.00
4523.44,-65.64,0.00,0.00
4529.30,-66.67,0.00,0.00
4535.16,-67.66,0.00,0.00
4541.02,-68.37,0.00,0.00
4546.88,-68.22,0.00,0.00
4552.73,-67.50,0.00,0.00
4558.59,-66.56,0.00,0.00
4564.45,-65.70,0.00,0.00
